Title,Source,Published,Target Accounts,Link
Carlyle Group Lukoil Acquisition Deal Analysis - discoveryalert.com.au,"""buyout acquisition when:2d"" - Google News","Thu, 29 Jan 2026 19:10:23 GMT","The Carlyle Group, Carlyle Group",https://news.google.com/rss/articles/CBMiiwFBVV95cUxNZ3ZlT0ZOM0YwVFkxU2o3QXlPTzdXWW5zUF9pRGZIV1FES1JkZVB4QWZxQVI0RTBTREJxQmMyc3JfNHZCNm5DVk1zWm5vUzh6NHJyalRuSmxuczVsQUxMMDVBQ3U5OUMxVk81aUJXeGM2eEZGYmVic001Q29saUItRjFtbjNrTG5CUnJN?oc=5
KKR Shifts From Industrial Logistics To Global Sports With New Deals - simplywall.st,"""""The Carlyle Group"" OR ""Blue Wolf Capital Partners"" OR ""KKR"" OR ""Summit Partners"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 06:38:09 GMT",KKR,https://news.google.com/rss/articles/CBMizgFBVV95cUxPeUxoOVFFYzl2N3N3MTlJRThlSmMzcWJYTHVUUEstVjN2MDJUaW8zVnlReXM3YWJLenQ3ZUhPRWhRSE9ycjZlNUdnTThfeEVuMjhteVlpZWF1bVVvVlAteDJnNVljMVpEM2d3U3Z4YWk2Sk9ySGd3UFRqMDB6VlU4eFRxVEQ0ZW1CbGVSaGJQczYtWTRDTlpSUW5zVTNIQ0pseHJqREQ2aVlQRGNJemExSUoxbzZReFlDRnB5WmtTRlVUQmVpX3RVd0R1U1JyZw?oc=5
"KKR continues to invest in sports, report says - Sporting Goods Intelligence Europe","""""The Carlyle Group"" OR ""Blue Wolf Capital Partners"" OR ""KKR"" OR ""Summit Partners"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 07:04:19 GMT",KKR,https://news.google.com/rss/articles/CBMinAFBVV95cUxOaVNGT2FhUXJYcEloZ0NxSUp6WXBkLWdzamhLektueXRlbEg1alZGNTZrTzlYeVQ3SHE4Tk51MXNtUkRSWlMyVzZoUDg5dTVsdG9idU1YTFNwc2RING5EcWYxT0ZscWVTa0xnOVBXTXdaRU8tTGxoaG8zNGVCd1IxUzg0TUYzcTJ6ME8xZFZPMTc1Q0lvWjhMVWh2RU8?oc=5
REG - Euronext Dublin - Notice of Optional Redemption (KKR CLO 10 LTD.) [87811] - TradingView,"""""The Carlyle Group"" OR ""Blue Wolf Capital Partners"" OR ""KKR"" OR ""Summit Partners"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 12:23:27 GMT",KKR,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNbHhSZ2ExWl9Ga25ObUthcllQNldfbmNzLUxEZndDajVZZzNWTGRiRXM0YUd0OE1fY1dvejZRZGk1MnhYSFdiNHpMWU12cFh3cFRzZ240QXBlenJyYlVfSUkzMjR3RmlLNmhJV1ZGRng0ZVZ0clRSZkpzN1ZEWkdRUHVVOWFvRzRyMThUYUN1NzcxTklhdlNENHZkbU1qZTl3eldNS1V0VmNFX0dkN1VCLTZQMWNSNkoxRVI2YjlTV0tsaXlPbmw3SV80bDdoS0dyRHhlWDFveVMxRlVDc2tJ?oc=5
KKR frontrunner to lead ‘€2.75bn’ CVC Global Sport Group investment - SportsPro,"""""The Carlyle Group"" OR ""Blue Wolf Capital Partners"" OR ""KKR"" OR ""Summit Partners"" OR ""Apax Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 15:53:19 GMT","KKR, CVC Capital Partners",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQZUl0TS1FUlB1THFaNThWeWtRRlJEZnNoT2cweXM5S3htMUxkSmNpOUpfQXVDc2xFa3hBM2ZBUG16TDFFYWhzXzNmaUVJbEVVdkgwei1sT3o3d0RqOGhGY0NXaXF0LV9pcDNnd1VmR3huNjZLcm5va0p5Mnd5bzc3QmRudUVGcXdBU3hFeVMzVW1yRGhScm41a1NoSWpDdHBTM2Fhdm9nUzJzeW8?oc=5
Summit Partners Announces Global Promotions - citybiz,"""""The Carlyle Group"" OR ""Blue Wolf Capital Partners"" OR ""KKR"" OR ""Summit Partners"" OR ""Apax Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 15:14:21 GMT",Summit Partners,https://news.google.com/rss/articles/CBMijAFBVV95cUxPWEN3ekxvTllsSjBQd0pQZVdIaEtXY3hzUmJZSzQzQ1lUNjdvMEhObUxKSWkySFpGOE5xcE5fUXQ1TWI5MWFmYlRWQUhsMlZ5enY3cE8tbElISzFTdldnc3N4UHRMUmJDRjNXUGM5Q21DT3lMd3FXQ202M2dMUU1fMks2NkhQZnNVZ21meg?oc=5
UK's Pinewood surges after $792 million deal talks with Apax Partners - TradingView,"""""The Carlyle Group"" OR ""Blue Wolf Capital Partners"" OR ""KKR"" OR ""Summit Partners"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 08:17:05 GMT",Apax Partners,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNWHdRMzVNRXFZb1E0eklzVWt2VFZ6N2dlRGRKZU1LX0t4U0ZGUDB4b3dKVXNaeG5kZ21qb0JzcTlBOVpaSGxzQWVfQzR2Vjkwb0V2ZFJtWmwyczhTLVRQZjFVV2ZLOWlnRFo2S2V0LXBhM1NvQ1ctUl9OcmJVcFN5cUpHQmhXQmpSU2xSVzRBaW5ZX2FlNHlVMTR3ZVgtSjZTc0NRbnBnOXR2bTQzNVFZd0tNQXdQaElmVjNRS2wxbnhFOVFGWjFPeWNGeWNfNjk4Wlcycw?oc=5
"Key facts: KKR, Citigroup, Blackstone team up for evergreen funds; CFO to speak at 2026 Conference - TradingView","""""The Carlyle Group"" OR ""Blue Wolf Capital Partners"" OR ""KKR"" OR ""Summit Partners"" OR ""Apax Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 20:04:08 GMT","KKR, Blackstone",https://news.google.com/rss/articles/CBMi7AFBVV95cUxPNmc4NTBNSDllWF9rMzJSNFYyMXROVGZ4MGE3ZUk2SXhiNl9zWE1DRXhVUVZxemUxRThDUkRrcGxzY3VmTFZGc05RNEs0cFF4QVhPRzFGNy14bmsyd2YzRzcxV0R4NEZGWDd3UmdTZ0FuQlIxc01fRXN1b3E1Qzd1Qk8xamU3WjliQVB2bGRIV2NUaUJzSXJBZDRqSTAzOExTbnkyeDdvY21XS1NZS2UtendlUDZ4bzItQ0NKYTE4T3M1WjQzc0U0RzdsYTlYVkJnZkh2UWkyM1ZibHBXWS0xTkw1S0t0OEVDcmVudA?oc=5
CVC billionaire leaving Britain shakes up London family office - Crain Currency,"""private equity buyout when:2d"" - Google News","Fri, 30 Jan 2026 14:26:14 GMT",CVC Capital Partners,https://news.google.com/rss/articles/CBMinAFBVV95cUxNU19PZmxlaVJNYXJ3WFNhSHlvTHFER0d0QzBZanoyUGZHd3R6Z19rMXA0amxvWkNsemJlb0xvRWl5c0ktMjhtSFVreFJTaENJZTc4eHg5WjBDOG1Jd0s2M1ZoNVJab0pOZ3BXdVllSzltTGZwTXFzaWFRbHdsRXcxbVZvVGsxN2JqLWxCVzkwTjJCdm5Hb0xnbkhBTUs?oc=5
Audax Private Equity Reviews $1.5 Billion Sale Of BlueCat Networks (CORRECTED) - Benzinga,"""private equity acquisition when:2d"" - Google News","Thu, 29 Jan 2026 21:24:00 GMT",Audax Private Equity,https://news.google.com/rss/articles/CBMivAFBVV95cUxPdFJFdjhKQWFvQTQyOS1qUUJPT19FOTlTeGV1dmJfWmR0Zmx5VkRhVFpLNmo2Y0QxQlgxazRSUkFXQ19MeHJQeTc1SENpdUxEVFdwOHdmdGw1dTBkU1hLTVljNFF4Yy1rTDZmZUs5cjFGdW1BSGlULVFkOEpsQjBrRzc5QVpDTzhJZ1ZkSWN2bVA0Nl9nTnk2NkktR3lNcVRpQlJfN05BUUFfQ1hKdmpSYzU0SENZQnYybE9hMg?oc=5
