Title,Source,Published,Target Accounts,Link
"KKR continues to invest in sports, report says - Sporting Goods Intelligence Europe","""""Sycamore Partners"" OR ""KKR"" OR ""AURELIUS Group"" OR ""BGH Capital"" OR ""FSN Capital"" when:2d"" - Google News","Fri, 30 Jan 2026 07:04:19 GMT",KKR,https://news.google.com/rss/articles/CBMinAFBVV95cUxOaVNGT2FhUXJYcEloZ0NxSUp6WXBkLWdzamhLektueXRlbEg1alZGNTZrTzlYeVQ3SHE4Tk51MXNtUkRSWlMyVzZoUDg5dTVsdG9idU1YTFNwc2RING5EcWYxT0ZscWVTa0xnOVBXTXdaRU8tTGxoaG8zNGVCd1IxUzg0TUYzcTJ6ME8xZFZPMTc1Q0lvWjhMVWh2RU8?oc=5
KKR frontrunner to lead ‘€2.75bn’ CVC Global Sport Group investment - SportsPro,"""""Sycamore Partners"" OR ""KKR"" OR ""AURELIUS Group"" OR ""BGH Capital"" OR ""FSN Capital"" when:2d"" - Google News","Thu, 29 Jan 2026 15:53:19 GMT","KKR, CVC Capital Partners",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQZUl0TS1FUlB1THFaNThWeWtRRlJEZnNoT2cweXM5S3htMUxkSmNpOUpfQXVDc2xFa3hBM2ZBUG16TDFFYWhzXzNmaUVJbEVVdkgwei1sT3o3d0RqOGhGY0NXaXF0LV9pcDNnd1VmR3huNjZLcm5va0p5Mnd5bzc3QmRudUVGcXdBU3hFeVMzVW1yRGhScm41a1NoSWpDdHBTM2Fhdm9nUzJzeW8?oc=5
"Key facts: KKR, Citigroup, Blackstone team up for evergreen funds; CFO to speak at 2026 Conference - TradingView","""""Sycamore Partners"" OR ""KKR"" OR ""AURELIUS Group"" OR ""BGH Capital"" OR ""FSN Capital"" when:2d"" - Google News","Thu, 29 Jan 2026 20:04:08 GMT","KKR, Blackstone",https://news.google.com/rss/articles/CBMi7AFBVV95cUxPNmc4NTBNSDllWF9rMzJSNFYyMXROVGZ4MGE3ZUk2SXhiNl9zWE1DRXhVUVZxemUxRThDUkRrcGxzY3VmTFZGc05RNEs0cFF4QVhPRzFGNy14bmsyd2YzRzcxV0R4NEZGWDd3UmdTZ0FuQlIxc01fRXN1b3E1Qzd1Qk8xamU3WjliQVB2bGRIV2NUaUJzSXJBZDRqSTAzOExTbnkyeDdvY21XS1NZS2UtendlUDZ4bzItQ0NKYTE4T3M1WjQzc0U0RzdsYTlYVkJnZkh2UWkyM1ZibHBXWS0xTkw1S0t0OEVDcmVudA?oc=5
KKR Shifts From Industrial Logistics To Global Sports With New Deals - simplywall.st,"""""Sycamore Partners"" OR ""KKR"" OR ""AURELIUS Group"" OR ""BGH Capital"" OR ""FSN Capital"" when:2d"" - Google News","Fri, 30 Jan 2026 06:38:11 GMT",KKR,https://news.google.com/rss/articles/CBMi0wFBVV95cUxORFpCVjNGZDgtcEtCdjhrMDhaenl1eUIxTjZmaUlpaGdTT0JKU2FDWGRVdGM1WjFGaFFIOTlkdDExWG55WVpwUzNNNXV5aU01ZzhGN3k0bFZOX0ZZMGhUSUhRZDVONlpuX3hXUnEybm1wRkYzYnFuN3FOaWJ3UUdBY3F1eFhPeWtQbEJqQnBfdmJ5bWs4Z3FIaElaekFtWFVuNlZKR3NVcFh4Uks4Y2JtZUVQQ2prMU81RXBIaFJ3QmJyUVN0SFhSVlQxTUpEMk11cTF3?oc=5
"Expert View: ICG, St James's Place, Easyjet, Crest Nicholson and Conduit Re - Citywire","""""Kelso & Company"" OR ""SK Capital Partners"" OR ""Leonard Green & Partners"" OR ""Sole Source Capital"" OR ""ICG"" when:2d"" - Google News","Fri, 30 Jan 2026 10:26:01 GMT",ICG,https://news.google.com/rss/articles/CBMixAFBVV95cUxQT1VsUzktWUVHem1jZFVNN2RGNmNOVjlWNUVaQk9WbEtTbHZNYkY5bk9mLXdRNk5EWEVYQ2o2SmVQNHBaWktVMUJMNTQyQW81YnRMMGdkWjZIMzl4RExpZDkyVE80YTM2QlIyYjUyS3BjTnROWDltTC1pVklmMU5ZS0x3MS1xb2lqTW93cG9lU0hidEVodkRtME9USTdaNVhlXzdBX04xOTlFOXNrcHY2Ymk1LVdTTjhPUVhtQi1PcE5aM1NB?oc=5
Carlyle Group Lukoil Acquisition Deal Analysis - discoveryalert.com.au,"""""Reverence Capital Partners"" OR ""Sun Capital Partners"" OR ""LLR Partners"" OR ""Carlyle Group"" OR ""Gryphon Investors"" when:2d"" - Google News","Thu, 29 Jan 2026 19:10:23 GMT","Carlyle Group, The Carlyle Group",https://news.google.com/rss/articles/CBMiiwFBVV95cUxNZ3ZlT0ZOM0YwVFkxU2o3QXlPTzdXWW5zUF9pRGZIV1FES1JkZVB4QWZxQVI0RTBTREJxQmMyc3JfNHZCNm5DVk1zWm5vUzh6NHJyalRuSmxuczVsQUxMMDVBQ3U5OUMxVk81aUJXeGM2eEZGYmVic001Q29saUItRjFtbjNrTG5CUnJN?oc=5
Permira Buys Stake in Fund Platform Carne at €1.4 Billion Value - Bloomberg,"""""Vitruvian Partners"" OR ""CVC Capital Partners"" OR ""Peak Rock Capital"" OR ""Solis Capital Partners"" OR ""Forbion"" when:2d"" - Google News","Fri, 30 Jan 2026 07:34:52 GMT",Permira Advisers,https://news.google.com/rss/articles/CBMixwFBVV95cUxPd3F4VnpHYl9JTWdYb2pQYV9rVUtuZ3FaUjFuOEFNeEl3N0VSV1R5WWZZdTM3WDdXc0ZSQ3lGbjVPR2tfVnhZeDlzY0NtM284YU9rS0p4WktJLS1NdHlUUjNBVy05aTZaTkQ4bTdST2Nlank1X0F4VlFqRnBnNUVTSjk3RDBJV2FkTHppbFdCTVVsZjdSR21Ub01reEZLUC1ZTm1QaUVGUjIwWGNldFRXSmhzUWlrdnBqd1BjUE84TVk4Ym5jdmxV?oc=5
French government blocks Eutelsat asset sale to EQT - Financial Times,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 09:28:42 GMT",EQT,https://news.google.com/rss/articles/CBMicEFVX3lxTE9wRHhkdElmWXJlcXdFdkVwaVBoeW5TaXduc3FGMklYZnlMTXRBUHVTVlZpQkFSTy1KT3ptMWZiYnROc3RrQm5oRF9iaTBGbFRIZU01NUMzTnUyZXZzdTBXR0tqSHh5MG96UjZmVC1QQW8?oc=5
EQT Nears Up to 650 Million Euros for Second Venture Fund - facilitiesmanagement-now.com,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 11:27:35 GMT",EQT,https://news.google.com/rss/articles/CBMiswFBVV95cUxPSHJLa1hvbUpyb2NMSEFaNVR6b3I5b0x5M2ticG5ONmoya256Y3FLZ0J1ejIwTWlhYVVEQmE4Wk92d0dITS0xc20zcWt3UHdsVFJ5MXhyd2x1RDVQbkc5UGt6R3k5Qlo2bW5ZTG13YjQ5czhRbnhZek5qeDM4eVRtOGZYU1AtaG1qcHRRd011bUVFVUY5UWFtaTRhSGhaYVIzNzJNaERNZkFnaF90Um1ySUhFQQ?oc=5
EQT Ties Low Cost Gas To Growing AI Power Demand - simplywall.st,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 21:32:19 GMT",EQT,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNN2NYallrOU0yOWlKcFRHQ3BPbzFWZXN3YVhiYnkyVUQ0TU4zWmtRaTN5YXk3VW1UdG1HblhRSmJNWlE3QzFnU2cxNjBxbEJ1TjdUaTRzczJoVXNFRkJucGZzMGgzanJ4eGpaWVVMNGVqbkJxcmJEZEN0dVhpV2lRQUlIUl9Bci1ONlE1RkNwMGFOUS1xMlByMVQwWURtVDhNMDJLVVNOekLSAa4BQVVfeXFMTmxsTDktQnhHdkh6bkJDSEdFQjRrUlh1LUFCNXlnWUV0R2o2Ny1EMl9vTUNWYnB0OEJTcVZVYkZNMG56c2JyX3hSM1hGU0hHbE1tSm53VUVEeU1KRFcyNjhlQTNtQUhCbGxvYzU4T3QyZ2Y0M29mVk1VV2d0R0tTWTR1bWlOajJodmFEd3NBSWlYeVNHb2F5S2U5cGRfTU9sUEs0dVJUNVpHTlhZQ3Nn?oc=5
