Title,Source,Published,Link
"GuestReady’s acquisition of Lightbooking lifts Spanish portfolio by 200+ units, taking global total beyond 4,000 - EU-Startups","""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 11:20:16 GMT",https://news.google.com/rss/articles/CBMi3gFBVV95cUxQcFJzTzFxRVNCYXFHdTRWLWFhdjJoakx5bUlqaEdZeWd4TjE1bHp3YkZhSkx0UlIxSDExQ01fT3kwcW1YOFZiWVREWVQzdXA4dXlUODdUZ1AxQXYzdzk1MHlOTGZ4anpGTllER0dLd3FQNXlvbXd2TkFXOER3T2ZvclFxSjVEbkJyUzE1dHUyb1VjR2RYNVpIVG5pUUJQNDNYaTZwLTZoRmFyVnBEeHI5ZU43cEZvUEZOeW9pUTM3bFJyeTZFR0FIZDV6Zm1oZ0NjdlJEX3dybG1ub2t0d2c?oc=5
GuestReady expands Spanish presence with acquisition of Lightbooking - shorttermrentalz.com,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 12:25:13 GMT",https://news.google.com/rss/articles/CBMipgFBVV95cUxQWm9QWmFnU24xV2g5aDZnWWNVUjBqRlNZdnd0d0pwZ0xnSUdpVmQ4bE9RQnVkSWJlb25jZ19yWG5jUkZNdXBFVjBPU2VRdFNhLTFwbjdHektVSGsySlRsWWRRTGdmOW1DVHlXTlRxOXNQUkZuaWRaTi05a3FhaTROemtFdi12YU9adlc5WHc5dVVLbGJkengzbjFWamVLUU84dnlEMW1n?oc=5
Cosnova Beauty enters skin care with Niche Beauty Lab acquisition - Cosmetics Business,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 11:47:38 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxQQWpjejh4NjdWQTVMcVZUU1B0U0t6UXNJQXZQckwzTXpZTzNTeldKeGN4WTRNVGExR2xlSHdZdzk2NThwRjlyN2lWTjhWek5nZ1Jhd2hTbmFEeXZWVU5RcEFtWlBkWHhkd2JaQ1VleXZlckozOU5MdWktS1dDdXdsOEhhNl85cDBK?oc=5
Vattenfall set for utility acquisition worth EUR 50 million - EnergyWatch,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 08:43:05 GMT",https://news.google.com/rss/articles/CBMickFVX3lxTE5yUEh2dkR5TDF4WTYwTzNTWU1MbXRQQ2lTVmM2Y1BqQnY2eVFvSzU2TDJwaGw3dzV4NGFUZURDZTUxMVBVaDBBazN3ekRVdlVndE1aVndVZGpqWE04TGJsVlEtSHc0S2J3a2tJOWM0Zi1zUQ?oc=5
BKV Corporation Successfully Closes Acquisition of Control Position in BKV-BPP Power Joint Venture - Financial Times,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 13:35:00 GMT",https://news.google.com/rss/articles/CBMipgFBVV95cUxQLUMzX0pwYUpVR0R5SUVVVnNuRkhSajk5enZYNnNwbVUtbmp3bnZrLTc4aWRwWWJqV3Z6VmVoQ2d4d3VKZWhHQnppWGdjQmtYSUZJNzM0U3ZWY2Y0RlFpbVkybkZMNHlINjRjd2U0SkYybzFfdXUzdU90SDZvOGdvNlNSNjVNTjRLRFZKeWpjTGpxSlhXRC1HQnEtdzVwLXJnVjRhS293?oc=5
Ageas UK hires new CTO after Esure acquisition - Insurance Times,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 10:47:27 GMT",https://news.google.com/rss/articles/CBMiogFBVV95cUxQVGNlTHdpMTBoVHlSb3lOVVEtNUJJOTBCNWhnTm1sWUEwenJxdkhneENyVDBQbWFtUFNpbTBNQ1ZXUnlFVjE1aWw1M3F5TnRnalZTc000cFZKdTNBWldFSHlwcXpGXzF0elFsZHJYZGtpZWJZLXZocGM0eHFDMGllOXU4UmJlV0JOZ1h2dkV0SUJlaTJvc3V0VkNUVlRBdXNmblE?oc=5
Legal Quadro advises Devoteam on the acquisition of Deiser - Iberian Lawyer,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 08:53:36 GMT",https://news.google.com/rss/articles/CBMijgFBVV95cUxQMmhXbXVtdmtpYlZGb25pR2VIaTJuVjhWb3QzNWZfdV90aXAxak45emROY0JXRlYxN3VOZFhjcGhzOTJfelRnbW5vUlh1VzZaTmQ0MTI5T25zU1A4RFhla0MxaUNFbFoxYkJ6Q3hWZDBHSFJ6aTJVR2VsdmRDdE4wWHlmWkxqTGZSZTJfX0NR?oc=5
Phenna Group expands into Italy with A Cube TIC acquisition - eastmidlandsbusinesslink.co.uk,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 11:34:53 GMT",https://news.google.com/rss/articles/CBMitwFBVV95cUxQLTJBal9PaklYbXhHdVlYUEFpbGp3MVhoVkdKdWpZNDlZenVOMUY4a0M4WnpQb1JLUUJPVVllTV9EclpwUUNYUE51VmtjQlJMbTBHUXdvbEFYUExVS2JCNTZTd2xqU3Y0MGpyV005NjdId2FmZHJJdGhpTjd3YTFkanNuc3h6STFxUlhTc1A5TkpZS2FoTDg0NzJ3R2E2SkVjRVhDSm1oMk5pXzl6ODNDZFF4NDQ2QXc?oc=5
Nomura to Buy Back Shares as Record Annual Profit Still in Sight - Bloomberg.com,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 09:51:52 GMT",https://news.google.com/rss/articles/CBMitgFBVV95cUxPS1hud2hsVWpPejR2WGxqMUVLbms3YlRvWEJuVzVQRFFodFBUZU5lNWMtY05VbVR1UWc1TENVUV95d1FHLW5UNElla2ljbzBsRXhiQW4yeGkzb0dLVGFXSDF1WTN5QzFSUDZ6SlQ0eUM1b0tETWF4SVFlTWVUTENiRVRsSG9oWXZzQVRTeXFaX3g3Y29Hclh4aWYxNDNDbTFLQ0I5U0xVTTA3amp1QzBZaUlhSU1LUQ?oc=5
South Korea's Naver completes acquisition of Wallapop - catalannews.com,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 11:11:24 GMT",https://news.google.com/rss/articles/CBMimgFBVV95cUxPTnpSZ0xNdmt4aDlEODBmMnBSNE1nVG9WZU1RelUwT3pjVjBvanVmcTA3bkxqMllZazR3N3R4Y196bkgtam1TczVSZ0NLdW1ZRWRhU3F6ZERMaC03WjBpemVZcnJ5bGJsOXdja1VPVDA1czUyQnYzRHh2blJkNTAtMWdNN3BKbVJtLTRteWNYbU84TWVlUmJJNXZR?oc=5
